,precision,recall,f1-score,support
adipose,0.9864108713029577,0.922272047832586,0.9532638084202395,1338.0
background,0.891578947368421,1.0,0.9426822481914302,847.0
debris,0.8058510638297872,0.8938053097345132,0.8475524475524475,339.0
lymphocytes,0.967741935483871,0.9936908517350158,0.980544747081712,634.0
mucus,0.973293768545994,0.9507246376811594,0.9618768328445748,1035.0
smooth muscle,0.7470760233918129,0.8631756756756757,0.8009404388714734,592.0
normal colon mucosa,0.9590723055934516,0.9487179487179487,0.9538670284938942,741.0
cancer-associated stroma,0.9123505976095617,0.5439429928741093,0.6815476190476191,421.0
colorectal adenocarcinoma epithelium,0.9363707776904949,0.9667477696674777,0.951316839584996,1233.0
accuracy,0.9238161559888579,0.9238161559888579,0.9238161559888579,0.9238161559888579
macro avg,0.9088606989795947,0.8981196926576095,0.8970657788987096,7180.0
weighted avg,0.927668860331935,0.9238161559888579,0.9219114805016543,7180.0
