sample_index,y_true,basemodel_pred,cancer_expert_pred,changed,recovered_stroma_false_negative,new_stroma_false_positive,true_epithelium_changed_to_stroma
0,8,8,8,False,False,False,False
1,4,4,4,False,False,False,False
2,4,4,4,False,False,False,False
3,8,8,8,False,False,False,False
4,4,4,4,False,False,False,False
5,4,4,4,False,False,False,False
6,8,8,8,False,False,False,False
7,0,0,0,False,False,False,False
8,6,6,6,False,False,False,False
9,8,8,8,False,False,False,False
10,8,8,8,False,False,False,False
11,6,6,6,False,False,False,False
12,8,8,8,False,False,False,False
13,6,6,6,False,False,False,False
14,0,0,0,False,False,False,False
15,5,5,5,False,False,False,False
16,0,0,0,False,False,False,False
17,2,2,2,False,False,False,False
18,0,0,0,False,False,False,False
19,5,5,5,False,False,False,False
20,2,2,2,False,False,False,False
21,0,0,0,False,False,False,False
22,1,1,1,False,False,False,False
23,8,8,8,False,False,False,False
24,8,8,8,False,False,False,False
25,0,0,0,False,False,False,False
26,1,1,1,False,False,False,False
27,6,6,6,False,False,False,False
28,6,6,6,False,False,False,False
29,0,0,0,False,False,False,False
30,0,0,0,False,False,False,False
31,8,8,8,False,False,False,False
32,0,0,0,False,False,False,False
33,0,0,0,False,False,False,False
34,1,1,1,False,False,False,False
35,7,2,7,True,True,False,False
36,5,5,5,False,False,False,False
37,3,3,3,False,False,False,False
38,4,4,4,False,False,False,False
39,6,6,6,False,False,False,False
40,5,5,5,False,False,False,False
41,6,6,6,False,False,False,False
42,4,4,4,False,False,False,False
43,8,8,8,False,False,False,False
44,0,0,0,False,False,False,False
45,3,3,3,False,False,False,False
46,6,6,6,False,False,False,False
47,2,2,2,False,False,False,False
48,6,8,8,False,False,False,False
49,7,5,7,True,True,False,False
50,3,3,3,False,False,False,False
51,1,1,1,False,False,False,False
52,3,3,3,False,False,False,False
53,3,3,3,False,False,False,False
54,0,0,0,False,False,False,False
55,1,1,1,False,False,False,False
56,7,8,7,True,True,False,False
57,0,5,5,False,False,False,False
58,0,0,0,False,False,False,False
59,0,0,0,False,False,False,False
60,4,4,4,False,False,False,False
61,4,4,4,False,False,False,False
62,4,4,4,False,False,False,False
63,0,5,5,False,False,False,False
64,8,8,8,False,False,False,False
65,3,3,3,False,False,False,False
66,4,4,4,False,False,False,False
67,0,0,0,False,False,False,False
68,7,2,7,True,True,False,False
69,4,4,4,False,False,False,False
70,0,0,0,False,False,False,False
71,8,8,8,False,False,False,False
72,0,0,0,False,False,False,False
73,6,6,6,False,False,False,False
74,2,2,2,False,False,False,False
75,6,6,6,False,False,False,False
76,7,7,7,False,False,False,False
77,1,1,1,False,False,False,False
78,1,1,1,False,False,False,False
79,2,2,2,False,False,False,False
80,3,3,3,False,False,False,False
81,0,0,0,False,False,False,False
82,4,4,4,False,False,False,False
83,0,0,0,False,False,False,False
84,3,3,3,False,False,False,False
85,8,8,8,False,False,False,False
86,4,4,4,False,False,False,False
87,0,0,0,False,False,False,False
88,0,5,5,False,False,False,False
89,4,4,4,False,False,False,False
90,8,8,8,False,False,False,False
91,5,4,4,False,False,False,False
92,8,8,8,False,False,False,False
93,0,0,0,False,False,False,False
94,3,3,3,False,False,False,False
95,4,4,4,False,False,False,False
96,8,8,8,False,False,False,False
97,0,0,0,False,False,False,False
98,0,0,0,False,False,False,False
99,1,1,1,False,False,False,False
100,8,8,8,False,False,False,False
101,3,3,3,False,False,False,False
102,8,8,8,False,False,False,False
103,3,3,3,False,False,False,False
104,3,3,3,False,False,False,False
105,3,3,3,False,False,False,False
106,4,4,4,False,False,False,False
107,0,5,5,False,False,False,False
108,1,1,1,False,False,False,False
109,1,1,1,False,False,False,False
